time,open,high,low,close,NV
2023-03-30T22:00:00Z,28083.2,28148.2,27809.89,27913.41,-1582.86602061
2023-03-30T23:00:00Z,27908.44,28064.34,27851.24,28039.91,1239.83422353
2023-03-31T00:00:00Z,28037.36,28342.19,27926.2,28259.93,2262.72654008
2023-03-31T01:00:00Z,28260.87,28381.43,28122.25,28160.26,-2049.20857573
2023-03-31T02:00:00Z,28159.3,28218.57,28088.89,28155.91,-1157.06277742
2023-03-31T03:00:00Z,28156.87,28245.15,28121.47,28180.22,761.4896846
2023-03-31T04:00:00Z,28179.87,28213.16,28100.11,28190.91,607.3199765
2023-03-31T05:00:00Z,28191.51,28227.58,27953.03,28040.94,-990.84003247
2023-03-31T06:00:00Z,28041.58,28110.28,28018.57,28087.19,646.11617556
2023-03-31T07:00:00Z,28087.75,28098.46,27523.88,27750.57,-3566.88743779
2023-03-31T08:00:00Z,27743.45,27856.07,27701.38,27807.25,1239.24394866
2023-03-31T09:00:00Z,27808.15,27886.56,27781.47,27835.18,858.03346663
2023-03-31T10:00:00Z,27833.97,28010.22,27814.77,27909.34,1284.40804328
2023-03-31T11:00:00Z,27910.85,27988.83,27854.03,27936.78,666.94208701
2023-03-31T12:00:00Z,27944.13,28189.37,27878.64,28117.18,2488.88132398
2023-03-31T13:00:00Z,28123.18,28560.87,28093.67,28376.7,3191.71443491
2023-03-31T14:00:00Z,28383.05,28652.24,28335.3,28515.6,2824.99668092
2023-03-31T15:00:00Z,28529.02,28591.12,28359.91,28499.85,-2484.78455593
2023-03-31T16:00:00Z,28501.91,28544.68,28366.69,28433.42,-1622.36128781
2023-03-31T17:00:00Z,28434.78,28479.43,28281.63,28337.09,-1500.15818469
2023-03-31T18:00:00Z,28339.87,28424.02,28273.3,28317.14,-1038.27730209
2023-03-31T19:00:00Z,28314.41,28526.93,28284.61,28463.42,1658.87790424
2023-03-31T20:00:00Z,28467.76,28474.48,28343.53,28393.15,-1201.52811751
2023-03-31T21:00:00Z,28394.65,28591.68,28369.95,28485.15,939.41744639
2023-03-31T22:00:00Z,28486.37,28636.81,28449.43,28578.12,1146.88384602
2023-03-31T23:00:00Z,28582.27,28605.12,28471.85,28473.2,-852.98936066
2023-04-01T00:00:00Z,28474.26,28556.36,28422.5,28448.92,-717.18642985
2023-04-01T01:00:00Z,28448.93,28630.13,28420.14,28618.14,653.87824387
2023-04-01T02:00:00Z,28618.99,28816.81,28483.16,28594.23,-2381.46695049
2023-04-01T03:00:00Z,28597.93,28618.89,28512.89,28552.61,-438.85086484
2023-04-01T04:00:00Z,28551.36,28638.57,28536.75,28590.92,530.64868352
2023-04-01T05:00:00Z,28590.37,28601.95,28542.19,28578.75,-303.97592277
2023-04-01T06:00:00Z,28579.36,28583.2,28366.52,28490.17,-824.80745877
2023-04-01T07:00:00Z,28489.95,28493.51,28371.86,28442.35,-508.52269883
2023-04-01T08:00:00Z,28442.59,28498.34,28407.9,28454.41,551.85696795
2023-04-01T09:00:00Z,28455.29,28476.42,28432.47,28439.88,-294.11566791
2023-04-01T10:00:00Z,28437.01,28484.22,28401.41,28477.58,308.07378192
2023-04-01T11:00:00Z,28478.49,28489.49,28379.05,28387.96,-597.33977664
2023-04-01T12:00:00Z,28391.03,28443.24,28342,28440.7,610.20813838
2023-04-01T13:00:00Z,28439.12,28459.55,28400.59,28437.33,-337.88374907
2023-04-01T14:00:00Z,28438.97,28444.11,28309.25,28336.78,-576.97398798
2023-04-01T15:00:00Z,28335.45,28420.48,28234.64,28415.03,740.16165167
2023-04-01T16:00:00Z,28413.23,28453.51,28297.5,28343.36,-668.05229286
2023-04-01T17:00:00Z,28344.12,28400.1,28333.7,28388.77,468.44876476
2023-04-01T18:00:00Z,28388.47,28402.33,28348.56,28389.67,334.45935289
2023-04-01T19:00:00Z,28390.45,28398.6,28357.52,28395.87,264.81395307
2023-04-01T20:00:00Z,28395.06,28592.35,28391.31,28457.44,1108.70485786
2023-04-01T21:00:00Z,28457.79,28532.71,28437.44,28496.12,439.23116584
2023-04-01T22:00:00Z,28496.1,28561.59,28494.62,28533.57,520.31538561
2023-04-01T23:00:00Z,28534.91,28571.35,28462.01,28468.81,-414.59296429
2023-04-02T00:00:00Z,28467.91,28514.92,28369.82,28377.17,-490.8678862
2023-04-02T01:00:00Z,28383.36,28449.71,28370.57,28404.29,325.55857073
2023-04-02T02:00:00Z,28403.37,28444.74,28390.47,28417.29,283.21208161
2023-04-02T03:00:00Z,28416.66,28539.93,28413.65,28485.19,380.7564258
2023-04-02T04:00:00Z,28487.46,28500.41,28396.25,28398.01,-317.83485332
2023-04-02T05:00:00Z,28398.1,28487.18,28391.65,28481.55,239.48796096
2023-04-02T06:00:00Z,28482.48,28503.38,28428.89,28478.06,-252.84271831
2023-04-02T07:00:00Z,28475.94,28495.67,28427.63,28432.88,-238.02124135
2023-04-02T08:00:00Z,28432.09,28436.33,28376.1,28391.59,-266.51694305
2023-04-02T09:00:00Z,28392.25,28460.05,28373.56,28423.2,255.66999327
2023-04-02T10:00:00Z,28424.17,28429.09,28375.08,28376.57,-277.01622013
2023-04-02T11:00:00Z,28381.06,28399.31,28320.69,28367.05,-434.80372628
2023-04-02T12:00:00Z,28367.16,28370.46,28255.16,28274.83,-572.06218987
2023-04-02T13:00:00Z,28275.27,28351.94,28149.67,28293.63,901.89880465
2023-04-02T14:00:00Z,28295.38,28358.98,28256.13,28285.98,-424.09430967
2023-04-02T15:00:00Z,28285.73,28290,28056.57,28139.88,-1617.13753535
